"pop_id","country_code","year","fertility_rate","life_expectancy","size"
238,"MWI",2015,5.048,63.7968536585366,17215232
241,"MYS",2010,1.998,74.1577804878049,28119500
240,"MYS",2015,1.931,74.8751707317073,30331007
273,"NAM",2010,3.605,62.4802926829268,2193643
272,"NAM",2015,3.473,64.9154390243903,2458830
281,"NCL",2010,2.17,77.4731707317073,250000
280,"NCL",2015,2.22,77.7731707317073,273000
287,"NER",2010,7.667,58.259,16291990
286,"NER",2015,7.567,61.9690243902439,19899120
289,"NGA",2010,5.84,51.329512195122,159424742
288,"NGA",2015,5.587,53.0488780487805,182201962
285,"NIC",2010,2.428,73.5817317073171,5737722
284,"NIC",2015,2.231,75.0981219512195,6082032
279,"NLD",2010,1.79,80.7024390243902,16615394
278,"NLD",2015,1.71,81.7073170731707,16939923
293,"NOR",2010,1.95,80.9975609756098,4889252
292,"NOR",2015,1.75,82.1,5190239
277,"NPL",2010,2.606,67.9714878048781,26875910
276,"NPL",2015,2.167,69.9733414634147,28513700
275,"NRU",2010,,,10025
274,"NRU",2015,,,12475
283,"NZL",2010,2.17,80.7024390243902,4350700
282,"NZL",2015,1.99,81.4568292682927,4595700
295,"OMN",2010,2.888,76.0528048780488,2943747
294,"OMN",2015,2.712,77.3241951219512,4490541
297,"PAK",2010,3.855,65.1625609756098,170043918
296,"PAK",2015,3.55,66.3769756097561,188924874
301,"PAN",2010,2.513,76.8636341463415,3620506
300,"PAN",2015,2.421,77.7672926829268,3929141
307,"PER",2010,2.545,73.6398048780488,29373644
306,"PER",2015,2.427,74.7807317073171,31376670
309,"PHL",2010,3.133,67.7833170731708,93038902
308,"PHL",2015,2.944,68.406756097561,100699395
299,"PLW",2010,,,20470
298,"PLW",2015,2.21,,21291
303,"PNG",2010,3.985,61.9948292682927,6847517
302,"PNG",2015,3.705,62.7766829268293,7619321
311,"POL",2010,1.41,76.2463414634146,38042794
310,"POL",2015,1.32,78.2048780487805,37986412
315,"PRI",2010,1.6235,78.4116341463415,3721526
314,"PRI",2015,1.432,79.5723170731708,3474182
205,"PRK",2010,2.003,68.9000243902439,24500506
204,"PRK",2015,1.968,70.3379268292683,25155317
313,"PRT",2010,1.39,79.0268292682927,10573100
312,"PRT",2015,1.23,81.5219512195122,10358076
305,"PRY",2010,2.73,72.3012926829268,6209877
304,"PRY",2015,2.509,73.0256341463415,6639123
427,"PSE",2010,4.433,72.2149268292683,3811102
426,"PSE",2015,4.11,73.0741951219512,4422143
137,"PYF",2010,2.11,75.6953902439025,268065
136,"PYF",2015,2.027,76.7524146341463,282764
317,"QAT",2010,2.104,77.825512195122,1765513
316,"QAT",2015,2.007,78.7625853658537,2235355
319,"ROU",2010,1.59,73.4585365853659,20246871
318,"ROU",2015,1.52,74.9609756097561,19815308
321,"RUS",2010,1.567,68.8412195121951,142849449
320,"RUS",2015,1.75,70.9085365853659,144096870
323,"RWA",2010,4.441,61.4017804878049,10293669
322,"RWA",2015,3.8,64.5245365853659,11609666
331,"SAU",2010,2.987,73.7016097560976,28090647
330,"SAU",2015,2.713,74.4933414634146,31540372
369,"SDN",2010,4.636,62.0425853658537,36114885
368,"SDN",2015,4.286,63.7107317073171,40234882
333,"SEN",2010,5.174,64.0144390243903,12956791
332,"SEN",2015,5.031,66.8044146341463,15129273
341,"SGP",2010,1.15,81.5414634146342,5076732
340,"SGP",2015,1.24,82.5951219512195,5535002
349,"SLB",2010,4.236,67.0656585365854,526177
348,"SLB",2015,3.904,68.146243902439,583591
339,"SLE",2010,5.151,48.2289512195122,5775902
338,"SLE",2015,4.516,51.3081707317073,6453184
120,"SLV",2010,2.078,71.6706097560976,6038306
119,"SLV",2015,1.909,73.0010975609756,6126583
327,"SMR",2010,,83.1593791574279,30690
326,"SMR",2015,,,31781
351,"SOM",2010,6.868,54.0236585365854,9581714
350,"SOM",2015,6.364,55.6855853658537,10787104
335,"SRB",2010,1.4,74.3365853658537,7291436
334,"SRB",2015,1.46,75.4878048780488,7095383
355,"SSD",2010,5.376,53.6649024390244,10056475
354,"SSD",2015,4.937,56.111512195122,12339812
329,"STP",2010,4.789,65.8546829268293,170880
328,"STP",2015,4.516,66.5137073170732,190344
371,"SUR",2010,2.465,70.3627317073171,518141
370,"SUR",2015,2.336,71.2941707317073,542975
345,"SVK",2010,1.43,75.1121951219512,5391428
344,"SVK",2015,1.37,77.2121951219512,5423801
347,"SVN",2010,1.57,79.4219512195122,2048583
346,"SVN",2015,1.58,81.0780487804878,2063531
375,"SWE",2010,1.98,81.4512195121951,9378126
374,"SWE",2015,1.88,82.5512195121951,9799186
373,"SWZ",2010,3.559,48.345756097561,1193148
372,"SWZ",2015,3.201,48.8739512195122,1286970
343,"SXM",2010,,,35474
342,"SXM",2015,,,38824
337,"SYC",2010,2.1,73.1975609756098,89770
336,"SYC",2015,2.3,73.2292682926829,93419
379,"SYR",2010,3.093,72.3074390243903,20720602
378,"SYR",2015,2.903,70.0893170731707,18502413
401,"TCA",2010,,,30993
400,"TCA",2015,,,34339
78,"TCD",2010,6.594,49.8620731707317,11896380
77,"TCD",2015,6.05,51.8733170731707,14037472
389,"TGO",2010,4.868,57.2815609756098,6390851
388,"TGO",2015,4.514,60.120756097561,7304578
385,"THA",2010,1.547,73.6943658536586,66692024
384,"THA",2015,1.497,74.6011951219512,67959359
381,"TJK",2010,3.514,68.5633902439025,7581696
380,"TJK",2015,3.454,69.7684390243903,8481855
399,"TKM",2010,2.411,65.021243902439,5041995
398,"TKM",2015,2.275,65.7364390243903,5373502
387,"TLS",2010,6.235,67.3083902439025,1057122
386,"TLS",2015,5.615,68.5264146341463,1184765
391,"TON",2010,3.913,72.1826097560976,103947
390,"TON",2015,3.678,72.9440487804878,106170
393,"TTO",2010,1.806,69.7975609756098,1328095
392,"TTO",2015,1.766,70.5577073170732,1360088
395,"TUN",2010,2.098,74.6117073170732,10639194
