"lang_id","code","name","percent","official"
424,"KAZ","Russian",94.4,TRUE
425,"KEN","English",,TRUE
426,"KEN","Kiswahili",,TRUE
427,"KEN","Other",,FALSE
428,"KIR","Kiribati",,FALSE
429,"KIR","English",,TRUE
430,"PRK","Korean",,FALSE
431,"KOR","Korean",,FALSE
432,"KOR","English",,FALSE
433,"KWT","Arabic",,TRUE
434,"KWT","English",,FALSE
435,"KGZ","Kyrgyz",71.4,TRUE
436,"KGZ","Uzbek",14.4,FALSE
437,"KGZ","Russian",9,TRUE
438,"KGZ","Other",5.2,FALSE
439,"LAO","Lao",,TRUE
440,"LAO","French",,FALSE
441,"LAO","English",,FALSE
442,"LAO","Other",,FALSE
443,"LVA","Latvian",56.3,TRUE
444,"LVA","Russian",33.8,FALSE
445,"LVA","Other",0.6,FALSE
446,"LVA","unspecified",9.4,FALSE
447,"LBN","Arabic",,TRUE
448,"LBN","French",,FALSE
449,"LBN","English",,FALSE
450,"LBN","Armenian",,FALSE
451,"LSO","Sesotho",,TRUE
452,"LSO","English",,TRUE
453,"LSO","Zulu",,FALSE
454,"LSO","Xhosa",,FALSE
455,"LBR","English",20,TRUE
456,"LBR","Other",,FALSE
457,"LBY","Arabic",,TRUE
458,"LBY","Italian",,FALSE
459,"LBY","English",,FALSE
460,"LBY","Berber",,FALSE
461,"LIE","German",94.5,TRUE
462,"LIE","Italian",1.1,FALSE
463,"LIE","Other",4.3,FALSE
464,"LTU","Lithuanian",82,TRUE
465,"LTU","Russian",8,FALSE
466,"LTU","Polish",5.6,FALSE
467,"LTU","Other",0.9,FALSE
468,"LTU","unspecified",3.5,FALSE
469,"LUX","Luxembourgish",88.8,TRUE
470,"LUX","French",4.2,TRUE
471,"LUX","Portuguese",2.3,FALSE
472,"LUX","German",1.1,TRUE
473,"LUX","Other",3.5,FALSE
474,"MKD","Macedonian",66.5,TRUE
475,"MKD","Albanian",25.1,FALSE
476,"MKD","Turkish",3.5,FALSE
477,"MKD","Romani",1.9,FALSE
478,"MKD","Serbian",1.2,FALSE
479,"MKD","Other",1.8,FALSE
480,"MDG","French",,TRUE
481,"MDG","Malagasy",,TRUE
482,"MDG","English",,FALSE
483,"MWI","English",,TRUE
484,"MWI","Chichewa",,FALSE
485,"MWI","Chinyanja",,FALSE
486,"MWI","Chiyao",,FALSE
487,"MWI","Chitumbuka",,FALSE
488,"MWI","Chilomwe",,FALSE
489,"MWI","Chinkhonde",,FALSE
490,"MWI","Chingoni",,FALSE
491,"MWI","Chisena",,FALSE
492,"MWI","Chitonga",,FALSE
493,"MWI","Chinyakyusa",,FALSE
494,"MWI","Chilambya",,FALSE
495,"MYS","Bahasa Malaysia",,TRUE
496,"MYS","English",,FALSE
497,"MYS","Chinese",,FALSE
498,"MYS","Tamil",,FALSE
